SigmaMm,FreeEnergy,DeltaFvsBaseline
5,88.9411022878974,138.917600153414
10,12.2201724134643,62.1966702789813
20,130.614786346773,180.59128421229
30,127.643800571192,177.620298436709
40,125.650146554095,175.626644419612
50,125.748262128217,175.724759993734
60,125.761678645978,175.738176511495
70,125.528032799315,175.504530664832
80,125.368267452627,175.344765318144
90,125.260491117196,175.236988982713
100,125.172432543341,175.148930408858
